objectID,title,culture,period,accessionYear,primaryImageSmall,dimensions
40092,Boating by a Willow Bank,China,Song dynasty,1947,https://images.metmuseum.org/CRDImages/as/web-large/DP153512.jpg,9 3/16 x 9 13/16 in. (23.3 x 24.9 cm); with mat: 15 1/2 x 15 1/2 in. (39.4 x 39.4 cm)
40054,Odes of the State of Bin,China,Southern Song,1973,https://images.metmuseum.org/CRDImages/as/web-large/DP213064_CRD.jpg,"Image: 10 15/16 in. × 21 ft. 9 1/4 in. (27.8 × 663.6 cm)
Overall with mounting: 13 13/16 in. × 45 ft. 10 1/2 in. (35.1 × 1398.3 cm)"
48969,Illustration of Su Shi’s “Second Ode on Red Cliff”,China,Ming dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP205432_CRD.jpg,"Image: 11 in. x 10 ft. 6 in. (27.9 x 320 cm)
Overall with mounting: 12 1/4 in. x 34 ft. 2 3/4 in. (31.1 x 1043.3 cm)"
49177,Outing to Zhang Gong's Grotto,China,Qing dynasty,1982,https://images.metmuseum.org/CRDImages/as/web-large/DP204906_CRD.jpg,"Image: 18 1/16 x 112 3/4 in. (45.9 x 286.4 cm)
Overall with mounting: 18 7/16 x 363 11/16 in. (46.8 x 923.8 cm)"
45776,Summer retreat in the eastern grove,China,Ming dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP205369_CRD.jpg,"Image (painting): 12 1/2 × 42 1/2 in. (31.8 × 108 cm)
Image (colophon): 12 1/2 × 38 3/8 in. (31.8 × 97.5 cm)
Overall with mounting: 13 in. × 9 ft. 9 1/2 in. (33 × 298.5 cm)"
45772,Gazing at a Waterfall,China,Ming dynasty,1982,https://images.metmuseum.org/CRDImages/as/web-large/DP153572.jpg,20 3/4 x 9 3/4 in. (52.7 x 24.8 cm)
45779,View of Lake Tai,China,Ming dynasty,1982,https://images.metmuseum.org/CRDImages/as/web-large/DP153574.jpg,9 3/4 x 20 3/4 in. (24.8 x 52.7 cm)
45810,Spring Morning in the Mountains,China,Ming dynasty,1991,https://images.metmuseum.org/CRDImages/as/web-large/1991_342_O.jpg,"Image: 76 1/8 × 41 1/4 in. (193.4 × 104.8 cm)
Overall with mounting: 9 ft. 4 3/4 in. × 42 9/16 in. (286.4 × 108.1 cm)
Overall with knobs: 9 ft. 4 3/4 in. × 46 3/8 in. (286.4 × 117.8 cm)"
36037,Viewing the Moon under a Pine Tree,China,Southern Song,1923,https://images.metmuseum.org/CRDImages/as/web-large/DP153498.jpg,10 x 10 in. (25.4 x 25.4 cm)
36048,Spring Festival on the River,China,Qing dynasty,1947,https://images.metmuseum.org/CRDImages/as/web-large/DP120039_CRD.jpg,11 3/4 in. x 33 ft. (29.8 x 1004.6 cm)
36138,Listening to the Zither Among Streams and Pines,China,Ming dynasty,1982,https://images.metmuseum.org/CRDImages/as/web-large/1982_1_9_O.JPG,"Image: 55 1/2 x 28 in. (141 x 71.1 cm)
Overall with mounting: 124 x 36 in. (315 x 91.4 cm)
Overall with knobs: 124 x 38 3/4 in. (315 x 98.4 cm)"
36141,Returning Home in a Driving Rain,China,Southern Song,1982,https://images.metmuseum.org/CRDImages/as/web-large/DT8800.jpg,10 1/16 x 10 3/8 in. (25.6 x 26.4 cm)
36056,Towing a Boat in a Rainstorm,China,Song dynasty,1947,https://images.metmuseum.org/CRDImages/as/web-large/DP153500.jpg,"Image: 9 5/8 × 10 1/4 in. (24.4 × 26 cm)
Mat: 15 1/2 × 15 1/2 in. (39.4 × 39.4 cm)"
36362,Lotus Peak,China,unknown,1986,,11 3/8 x 16 1/8 in. (28.9 x 41.0 cm)
41493,"The Qianlong Emperor's Southern Inspection Tour, Scroll Six: Entering Suzhou along the Grand Canal",China,Qing dynasty,1988,https://images.metmuseum.org/CRDImages/as/web-large/DP105240_CRD.jpg,Image: 27 1/8 in. x 784 1/2 in. (68.8 x 1994 cm)
41495,Lamp-lit Pavilion on a Rainy Night,China,unknown,1986,,21 7/8 x 18 3/8 in. (55.6 x 46.7 cm)
41798,The Bounteous and Fertile Garden,China,unknown,1930,https://images.metmuseum.org/CRDImages/as/web-large/30_76_218_B.jpg,H. 2 1/2 in. (6.4 cm); W. 2 3/8 in. (6 cm)
42070,Hand Warmer,China,Qing dynasty,1924,https://images.metmuseum.org/CRDImages/as/web-large/24_80_473ab.JPG,H. 4 1/2 in. (11.4 cm); W. 5 1/2 in. (14 cm); D. 3 3/4 in. (9.5 cm);
49095,Streams and Mountains in Autumn Mist,China,Ming dynasty,1989,https://images.metmuseum.org/CRDImages/as/web-large/DP206065_CRD.jpg,10 1/4 x 42 1/2 in. (26 x 108 cm)
35981,Qu Yuan and the Fisherman,China,unknown,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP153865.jpg,6 5/8 x 20 1/4 in. (16.8 x 51.4 cm)
49801,Wenshu Plateau in the Yellow Mountains,China,unknown,1989,,"Image: 41 3/4 x 16 1/16 in. (106 x 40.8 cm)
Overall with mounting: 74 1/2 x 21 1/2 in. (189.2 x 54.6 cm)
Overall with knobs: 74 1/2 x 25 in. (189.2 x 63.5 cm)"
36002,Riverscape with moored boats,China,Qing dynasty,1913,https://images.metmuseum.org/CRDImages/as/web-large/DP153885.jpg,6 1/4 x 18 5/8 in. (15.9 x 47.3 cm)
36190,Reading in the Autumn Mountains,China,Qing dynasty,1986,,56 3/4 x 30 1/2 in. (144.1 x 77.5 cm)
52033,Covered Jar,China,Qing dynasty,1914,https://images.metmuseum.org/CRDImages/as/web-large/20713.jpg,H. 18 in. (45.7 cm)
70091,"Rabbit gazing at the moon and stars besides a blossoming osmanthus, lingzhi fungus, and autumn leaves",China,Qing dynasty,1954,https://images.metmuseum.org/CRDImages/as/web-large/DT4779.jpg,13 1/4 x 12 1/4 in. (33.66 x 31.11 cm)
